date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Stock Name
2022-07-12,145.76,148.45,145.05,145.86,145.415698234,77588759,0.0000,1.0,AAPL
2022-07-11,145.67,146.64,143.78,144.87,144.428713857,63305113,0.0000,1.0,AAPL
2022-07-08,145.265,147.55,145.0,147.04,146.592103855,64547798,0.0000,1.0,AAPL
2022-07-07,143.29,146.55,143.28,146.35,145.904205653,66253709,0.0000,1.0,AAPL
2022-07-06,141.355,144.12,141.08,142.92,142.48465372,74064254,0.0000,1.0,AAPL
2022-07-05,137.77,141.61,136.93,141.56,141.128796394,73429641,0.0000,1.0,AAPL
2022-07-01,136.04,139.04,135.66,138.93,138.506807594,71051552,0.0000,1.0,AAPL
2022-06-30,137.25,138.37,133.7737,136.72,136.303539439,98964467,0.0000,1.0,AAPL
2022-06-29,137.46,140.67,136.67,139.23,138.805893769,66242411,0.0000,1.0,AAPL
2022-06-28,142.13,143.422,137.325,137.44,137.021346259,67315328,0.0000,1.0,AAPL
2022-11-16,96.85,98.4879,95.54,97.12,97.12,87442351,0.0000,1.0,AMZN
2022-11-15,103.21,103.79,97.34,98.94,98.94,111336317,0.0000,1.0,AMZN
2022-11-14,98.77,100.1199,97.29,98.49,98.49,99533072,0.0000,1.0,AMZN
2022-11-11,97.88,101.19,96.66,100.79,100.79,111590544,0.0000,1.0,AMZN
2022-11-10,92.935,98.69,91.65,96.63,96.63,173414862,0.0000,1.0,AMZN
2022-11-09,89.47,89.48,85.87,86.14,86.14,90796249,0.0000,1.0,AMZN
2022-11-08,90.79,91.72,88.23,89.98,89.98,88703370,0.0000,1.0,AMZN
2022-11-07,91.95,92.1,89.04,90.53,90.53,77495728,0.0000,1.0,AMZN
2022-11-04,91.49,92.44,88.04,90.98,90.98,129101336,0.0000,1.0,AMZN
2022-11-03,92.47,93.5,89.02,89.3,89.3,136683303,0.0000,1.0,AMZN
2022-11-02,97.315,97.74,92.01,92.12,92.12,135761798,0.0000,1.0,AMZN
2022-11-01,103.99,104.58,96.06,96.79,96.79,153370032,0.0000,1.0,AMZN
2022-10-31,103.56,104.87,100.74,102.44,102.44,99251395,0.0000,1.0,AMZN
2022-10-28,97.905,103.96,97.66,103.41,103.41,223133398,0.0000,1.0,AMZN
2022-10-27,113.92,114.12,109.77,110.96,110.96,129605362,0.0000,1.0,AMZN
2022-10-26,116.0,119.3457,114.76,115.66,115.66,69002457,0.0000,1.0,AMZN
2022-10-25,119.65,121.3152,118.95,120.6,120.6,50934609,0.0000,1.0,AMZN
2022-10-24,119.98,120.39,116.57,119.82,119.82,49531523,0.0000,1.0,AMZN
2022-10-21,114.792,119.59,114.5,119.32,119.32,55660485,0.0000,1.0,AMZN
2022-10-20,113.83,118.24,113.51,115.25,115.25,48795104,0.0000,1.0,AMZN
2022-10-19,114.71,116.5932,113.22,115.07,115.07,47198122,0.0000,1.0,AMZN
2022-10-18,119.06,119.52,114.79,116.36,116.36,65607448,0.0000,1.0,AMZN
2022-10-17,110.11,114.19,110.09,113.79,113.79,62781985,0.0000,1.0,AMZN
2022-10-14,114.1,114.96,106.6,106.9,106.9,67737344,0.0000,1.0,AMZN
2022-10-13,107.88,113.44,105.345,112.53,112.53,86868103,0.0000,1.0,AMZN
2022-10-12,112.49,113.83,111.4,112.9,112.9,45728660,0.0000,1.0,AMZN
2022-10-11,112.71,115.48,110.39,112.21,112.21,56432233,0.0000,1.0,AMZN
2022-10-10,115.1,116.25,112.43,113.67,113.67,42339675,0.0000,1.0,AMZN
2022-10-07,118.0,118.17,113.88,114.56,114.56,54677980,0.0000,1.0,AMZN
2022-10-06,120.77,121.53,119.5,120.3,120.3,42253755,0.0000,1.0,AMZN
2022-10-05,118.58,121.75,117.69,120.95,120.95,48217535,0.0000,1.0,AMZN
2022-10-04,119.89,123.0,119.79,121.09,121.09,62812564,0.0000,1.0,AMZN
2022-10-03,113.58,116.91,112.45,115.88,115.88,50941854,0.0000,1.0,AMZN
2022-09-30,114.075,116.92,112.84,113.0,113.0,59479586,0.0000,1.0,AMZN
2022-09-29,115.6,116.07,113.06,114.8,114.8,58969714,0.0000,1.0,AMZN
2022-09-28,114.38,118.7,113.8,118.01,118.01,55763750,0.0000,1.0,AMZN
2022-09-27,117.195,118.32,113.05,114.41,114.41,60094693,0.0000,1.0,AMZN
2022-09-26,113.295,117.34,113.13,115.15,115.15,62723268,0.0000,1.0,AMZN
2022-09-23,116.0,116.05,112.06,113.78,113.78,65126665,0.0000,1.0,AMZN
2022-09-22,117.08,118.79,116.26,117.31,117.31,54959006,0.0000,1.0,AMZN
2022-09-21,122.49,123.76,118.45,118.54,118.54,58498887,0.0000,1.0,AMZN
2022-09-20,123.35,124.3963,121.14,122.19,122.19,47698432,0.0000,1.0,AMZN
2022-09-19,122.16,124.71,121.8,124.66,124.66,47279727,0.0000,1.0,AMZN
2022-09-16,122.78,123.87,120.7,123.53,123.53,115667804,0.0000,1.0,AMZN
2022-09-15,127.38,130.37,125.495,126.28,126.28,52887196,0.0000,1.0,AMZN
2022-09-14,127.364,128.84,126.33,128.55,128.55,45316772,0.0000,1.0,AMZN
2022-09-13,131.01,131.4,126.27,126.82,126.82,72694010,0.0000,1.0,AMZN
2022-09-12,134.095,136.49,134.0,136.45,136.45,53826859,0.0000,1.0,AMZN
2022-09-09,130.91,133.69,130.76,133.27,133.27,49422259,0.0000,1.0,AMZN
2022-09-08,127.72,130.28,127.1,129.82,129.82,43988509,0.0000,1.0,AMZN
2022-09-07,126.12,129.82,125.4,129.48,129.48,47834487,0.0000,1.0,AMZN
2022-09-06,127.92,128.62,124.74,126.11,126.11,43689994,0.0000,1.0,AMZN
2022-09-02,129.5,131.38,126.39,127.51,127.51,57429829,0.0000,1.0,AMZN
2022-09-01,126.0,128.02,123.66,127.82,127.82,56636145,0.0000,1.0,AMZN
2022-08-31,129.45,130.59,126.74,126.77,126.77,53648702,0.0000,1.0,AMZN
2022-08-30,131.25,132.0745,126.85,128.73,128.73,49202990,0.0000,1.0,AMZN
2022-08-29,129.9,131.9499,128.77,129.79,129.79,47967685,0.0000,1.0,AMZN
2022-08-26,136.55,137.83,130.5,130.75,130.75,53322663,0.0000,1.0,AMZN
2022-08-25,135.26,137.42,134.28,137.28,137.28,37496283,0.0000,1.0,AMZN
2022-08-24,132.75,135.47,132.1,133.8,133.8,38626978,0.0000,1.0,AMZN
2022-08-23,133.41,134.99,132.95,133.62,133.62,36252103,0.0000,1.0,AMZN
2022-08-22,135.72,136.32,132.85,133.22,133.22,50461504,0.0000,1.0,AMZN
2022-08-19,140.47,141.11,137.9142,138.23,138.23,47792843,0.0000,1.0,AMZN
2022-08-18,141.32,142.77,140.38,142.3,142.3,37458737,0.0000,1.0,AMZN
2022-08-17,142.69,143.38,140.78,142.1,142.1,48149778,0.0000,1.0,AMZN
2022-08-16,143.905,146.57,142.0,144.78,144.78,59102859,0.0000,1.0,AMZN
2022-08-15,142.8,143.76,141.49,143.18,143.18,39014583,0.0000,1.0,AMZN
2022-08-12,142.05,143.57,140.1201,143.55,143.55,47643484,0.0000,1.0,AMZN
2022-08-11,143.86,144.49,139.76,140.64,140.64,44867336,0.0000,1.0,AMZN
2022-08-10,142.9,144.6,141.01,142.69,142.69,54773819,0.0000,1.0,AMZN
2022-08-09,138.052,138.9523,136.21,137.83,137.83,40434715,0.0000,1.0,AMZN
2022-08-08,142.05,144.23,138.29,139.41,139.41,52303475,0.0000,1.0,AMZN
2022-08-05,140.1,142.86,139.6,140.8,140.8,50686865,0.0000,1.0,AMZN
2022-08-04,140.58,143.56,139.55,142.57,142.57,70585020,0.0000,1.0,AMZN
2022-08-03,136.21,140.49,136.05,139.52,139.52,71827780,0.0000,1.0,AMZN
